Code,Title,Description,Link
12011,"Supervisors, finance and insurance office workers","Supervisors of finance and insurance office workers supervise and coordinate the activities of workers in the following unit groups: Payroll administrators (13102), Accounting and related clerks (14200), Banking, insurance and other financial clerks (14201) and Collection clerks (14202). They are employed by banks and other financial institutions, insurance companies, and by other establishments throughout the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Oeq1moax2g9POurXNwwmKigrb80HMnl1xhCgSURlVcw%3D
12012,"Supervisors, library, correspondence and related information workers","Supervisors of library, correspondence and related information workers supervise and coordinate the activities of workers in the following unit groups: Survey interviewers and statistical clerks (14110), Library assistants and clerks (14300), and Correspondence, publication and regulatory clerks (14301). They are employed throughout the public and private sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=OAMWS6WRwH7kHC0pjNUzZYTCtoiJX2WXiUaEvudI%2FwQ%3D
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations","Supervisors of supply chain, tracking and scheduling coordination occupations supervise the activities of workers in unit group 13201 Production and transportation logistics coordinators and in sub-major group 144: Supply chain logistics, tracking and scheduling coordination occupations. They are employed throughout the public and private sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=iNmR2cxU%2FTespVPxJjmERBqabTknnK9KSiaCJrF2fh8%3D
12100,Executive assistants,"Executive assistants coordinate administrative procedures, public relations activities and research and analysis functions for members of legislative assemblies, ministers, deputy ministers, corporate officials and executives, committees and boards of directors. They are employed by governments, corporations and associations.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=36trt1CF0CsNog6ifu2BmY5p8gCCVRCxIt7o6Lx%2BmSE%3D
12101,Human resources and recruitment officers,"Human resources and recruitment officers identify and advertise job vacancies, recruit candidates, and assist in the selection and reassignment of employees. They are employed throughout the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=sPRrimidDpS%2BQ5Cozu%2FE44S0sLTfyUUBN2Qqftntd%2Bs%3D
12102,Procurement and purchasing agents and officers,"Procurement and purchasing agents and officers source and purchase general and specialized equipment, materials, business services and land or access rights for use or for further processing by their establishment. They are employed throughout the public and private sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=Dl9tCGLcizSFnOrVSyJG0SsGJNQ53Da9I6DWNEdsnWI%3D
12103,Conference and event planners,"Conference and event planners plan, organize and coordinate conferences, conventions, meetings, seminars, exhibitions, trade shows, festivals and other events. They are employed by tourism associations, trade and professional associations, convention and conference centres, governments and by conference and event planning companies, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=3O7iTeG9U%2FMbk6dgJ7VRaG8yRGfiqgKco915j3HylCg%3D
12104,Employment insurance and revenue officers,"Employment insurance and revenue officers administer and enforce laws and regulations related to tax revenue, employment insurance and other government benefit services. They are employed by government agencies.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=bRWC4eHC3ntbe6OsjyRzP%2FZBuTtty%2FPSWKLYW%2BnG1Ak%3D
12110,"Court reporters, medical transcriptionists and related occupations","Court reporters record and transcribe verbatim the proceedings of courts, legislative assemblies and committees, and prepare transcripts for use by judges, tribunals and quasi-judicial panels. They are employed by courts of law, provincial and federal legislative assemblies and committees, or they may be self-employed. Medical transcriptionists record, transcribe and edit dictation by physicians and other health care providers, surgical proceedings, health-related reports and other medical documentation. They are employed by hospitals, medical clinics and doctors' offices, or they may be self-employed. Closed captioners, braille technicians and other transcriptionists are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=UkTcxSVum5sJXQy8F3Hb1jZ7ULIcCHKMDlbs7Crujn4%3D
12111,Health information management occupations,"Health information management workers collect, code, record, review and manage health information. They are employed by hospitals, clinics, workplace health and safety boards, health record consulting firms and other health care establishments. Health information management occupations who are supervisors are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=VMo%2BEti%2Fgo0GfJsPuyX0MlhT%2FGeGGvkQkNbP6Pt7lD4%3D
12112,Records management technicians,"Records management technicians operate and maintain systems for the collection, classification, retrieval and retention of records, images, documents and information. They are employed throughout the private and public sectors.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=8v6xcoU%2B4nNHzn9tPJQRs61GvK5MjNtY2VTwyOwVfNw%3D
12113,Statistical officers and related research support occupations,"Statistical officers and workers in related research support occupations provide statistical and research support services to a wide range of businesses and organizations. These workers conduct statistical routines, monitor trends, compile data and prepare charts, graphs, summaries and reports in support of organizational information needs and research activities. They are employed throughout the private and public sectors. Statistical officers who are also supervisors are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=FXfLiYSwG24lDk%2Fgk2Ac9nxqPHwYJbQpmiR7a7Ub%2FEw%3D
12200,Accounting technicians and bookkeepers,"Accounting technicians and bookkeepers maintain complete sets of books, keep records of accounts, verify the procedures used for recording financial transactions, and provide personal bookkeeping services. They are employed throughout the private and public sectors, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=mv00DAdfptwIz7uu4bFy4vmdDrkJt%2FrcF6CMIuVUK%2BU%3D
12201,Insurance adjusters and claims examiners,Insurance adjusters investigate insurance claims and determine the amount of loss or damages covered by insurance policies. They are employed in claims departments of insurance companies or as independent adjusters. Insurance claims examiners examine claims investigated by insurance adjusters and authorize payments. They are employed at head offices or branches of insurance companies.,https://noc.esdc.gc.ca/Structure/NocProfile?objectid=NTzy1twzlrK7CfdtpK7QbrgCZ6EN7qJ1q38jSIXW4uM%3D
12202,Insurance underwriters,"Insurance underwriters review and evaluate insurance applications to determine insurance risks, insurance premiums and extent of insurance coverage according to company policies. They are employed at head and branch offices of insurance companies.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=meWyRPj2tXEY8weD3JcQXMIrMbbRgHP9y%2BkGL2DKftg%3D
12203,"Assessors, business valuators and appraisers","Assessors and appraisers determine the value of land, businesses, estates and other real property, for purposes of sale, purchase, taxation or disposal of assets. Appraisers also determine the value of personal and household items. Business valuators quantify the value of a business, its securities or its intangible assets. Assessors, business valuators and appraisers are employed by government agencies, real estate firms and other private companies, or they may be self-employed.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=WHp1BImFTRE2kCBgtBDtQhBKNpHW7UkyQB0pCpuRUNo%3D
13100,Administrative officers,"Administrative officers oversee and implement administrative procedures, establish work priorities, conduct analyses of administrative operations and coordinate acquisition of administrative services such as office space, supplies and security services. They are employed throughout the public and private sectors. Administrative officers who are supervisors are included in this unit group.",https://noc.esdc.gc.ca/Structure/NocProfile?objectid=MK5m5CIVbBPjrqITrD3a%2FTUcaYdZK9d89lI8clfLuHM%3D
